origin,destination,cable_name,cable_id,cable_length,cable_rfs,owners,capacityTBPS
3316,4181,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
4181,3316,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
4181,3036,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
3036,4181,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
3036,4554,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
4554,3036,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
4554,3921,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
3921,4554,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
3921,14331,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
14331,3921,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
14331,4180,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
4180,14331,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
4180,4182,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
4182,4180,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
4182,4177,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
4177,4182,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
4177,3117,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
3117,4177,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
3117,3280,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
3280,3117,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
3280,4221,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
4221,3280,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
4221,5901,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
5901,4221,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
5901,4252,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
4252,5901,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
4252,3210,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
3210,4252,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
3210,4255,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
4255,3210,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
4255,5896,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
5896,4255,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
5896,5942,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
5942,5896,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
5942,9426,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
9426,5942,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
9426,16376,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
16376,9426,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
16376,5971,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
5971,16376,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
5971,8847,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
8847,5971,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
8847,9487,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
9487,8847,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
9487,5950,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
5950,9487,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
5950,18092,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
18092,5950,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
18092,5924,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
5924,18092,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
5924,5825,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
5825,5924,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
5825,9269,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
9269,5825,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
9269,9486,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
9486,9269,2Africa,2africa,"37,000 km",2023,"Facebook,  Vodafone,  MTN Group,  China Mobile,  WIOCC,  Orange,  Telecom Egypt,  Saudi Telecom",180.0
4067,8539,ACS Alaska-Oregon Network (AKORN),acs-alaska-oregon-network-akorn,"3,000 km",2009 April,Alaska Communications,1608.568592782663
8539,4067,ACS Alaska-Oregon Network (AKORN),acs-alaska-oregon-network-akorn,"3,000 km",2009 April,Alaska Communications,1608.568592782663
8539,8392,ACS Alaska-Oregon Network (AKORN),acs-alaska-oregon-network-akorn,"3,000 km",2009 April,Alaska Communications,1608.568592782663
8392,8539,ACS Alaska-Oregon Network (AKORN),acs-alaska-oregon-network-akorn,"3,000 km",2009 April,Alaska Communications,1608.568592782663
8392,8540,ACS Alaska-Oregon Network (AKORN),acs-alaska-oregon-network-akorn,"3,000 km",2009 April,Alaska Communications,1608.568592782663
8540,8392,ACS Alaska-Oregon Network (AKORN),acs-alaska-oregon-network-akorn,"3,000 km",2009 April,Alaska Communications,1608.568592782663
5969,4177,Aden-Djibouti,aden-djibouti,269 km,1994,"Djibouti Telecom,  TeleYemen,  Tata Communications,  Orange,  Telecom Italia Sparkle",1509.832186963327
4177,5969,Aden-Djibouti,aden-djibouti,269 km,1994,"Djibouti Telecom,  TeleYemen,  Tata Communications,  Orange,  Telecom Italia Sparkle",1509.832186963327
6024,6043,Adria-1,adria-1,440 km,1996 September,"T-Hrvatski Telekom,  Albania Telecom",6.791036307323147
6043,6024,Adria-1,adria-1,440 km,1996 September,"T-Hrvatski Telekom,  Albania Telecom",6.791036307323147
6043,6025,Adria-1,adria-1,440 km,1996 September,"T-Hrvatski Telekom,  Albania Telecom",6.791036307323147
6025,6043,Adria-1,adria-1,440 km,1996 September,"T-Hrvatski Telekom,  Albania Telecom",6.791036307323147
14732,3783,AEConnect-1,aeconnect-1,"5,521 km",2016 January,Aqua Comms,55.0
3783,14732,AEConnect-1,aeconnect-1,"5,521 km",2016 January,Aqua Comms,55.0
14813,10093,Africa-1,africa-1,"10,000 km",2023 Q4,"Telecom Egypt,  Etisalat,  Pakistan Telecommunications Company Ltd.,  Mobily,  G42",1024.9808274978977
10093,14813,Africa-1,africa-1,"10,000 km",2023 Q4,"Telecom Egypt,  Etisalat,  Pakistan Telecommunications Company Ltd.,  Mobily,  G42",1024.9808274978977
10093,5958,Africa-1,africa-1,"10,000 km",2023 Q4,"Telecom Egypt,  Etisalat,  Pakistan Telecommunications Company Ltd.,  Mobily,  G42",1024.9808274978977
5958,10093,Africa-1,africa-1,"10,000 km",2023 Q4,"Telecom Egypt,  Etisalat,  Pakistan Telecommunications Company Ltd.,  Mobily,  G42",1024.9808274978977
5958,4177,Africa-1,africa-1,"10,000 km",2023 Q4,"Telecom Egypt,  Etisalat,  Pakistan Telecommunications Company Ltd.,  Mobily,  G42",1024.9808274978977
4177,5958,Africa-1,africa-1,"10,000 km",2023 Q4,"Telecom Egypt,  Etisalat,  Pakistan Telecommunications Company Ltd.,  Mobily,  G42",1024.9808274978977
4177,19123,Africa-1,africa-1,"10,000 km",2023 Q4,"Telecom Egypt,  Etisalat,  Pakistan Telecommunications Company Ltd.,  Mobily,  G42",1024.9808274978977
19123,4177,Africa-1,africa-1,"10,000 km",2023 Q4,"Telecom Egypt,  Etisalat,  Pakistan Telecommunications Company Ltd.,  Mobily,  G42",1024.9808274978977
19123,17183,Africa-1,africa-1,"10,000 km",2023 Q4,"Telecom Egypt,  Etisalat,  Pakistan Telecommunications Company Ltd.,  Mobily,  G42",1024.9808274978977
17183,19123,Africa-1,africa-1,"10,000 km",2023 Q4,"Telecom Egypt,  Etisalat,  Pakistan Telecommunications Company Ltd.,  Mobily,  G42",1024.9808274978977
17183,3259,Africa-1,africa-1,"10,000 km",2023 Q4,"Telecom Egypt,  Etisalat,  Pakistan Telecommunications Company Ltd.,  Mobily,  G42",1024.9808274978977
