landing_point_id,id,name,latitude,longitude
3316,abidjan-cte-divoire,"Abidjan, Cote d'Ivoire",5.323519,-4.026241
4181,accra-ghana,"Accra, Ghana",5.558283,-0.201097
3036,barcelona-spain,"Barcelona, Spain",41.385621,2.168762
4554,bude-united-kingdom,"Bude, United Kingdom",50.828110,-4.544405
3921,cape-town-south-africa,"Cape Town, South Africa",-33.919094,18.421985
14331,carcavelos-portugal,"Carcavelos, Portugal",38.690163,-9.331560
4180,dakar-senegal,"Dakar, Senegal",14.686598,-17.451915
4182,dar-es-salaam-tanzania,"Dar Es Salaam, Tanzania",-6.823229,39.269675
4177,djibouti-city-djibouti,"Djibouti City, Djibouti",11.594678,43.147993
3117,genoa-italy,"Genoa, Italy",44.410344,8.938911
3280,lagos-nigeria,"Lagos, Nigeria",6.438875,3.423216
4221,libreville-gabon,"Libreville, Gabon",0.394269,9.454364
5901,mahajanga-madagascar,"Mahajanga, Madagascar",-15.713730,46.315520
4252,maputo-mozambique,"Maputo, Mozambique",-25.968533,32.580618
3210,marseille-france,"Marseille, France",43.293165,5.372629
4255,mogadishu-somalia,"Mogadishu, Somalia",2.041166,45.344158
5896,mombasa-kenya,"Mombasa, Kenya",-4.053207,39.672800
5942,mtunzini-south-africa,"Mtunzini, South Africa",-28.950641,31.757864
9426,muanda-congo-dem-rep-,"Muanda, Democratic Republic of the Congo",-5.933359,12.349870
16376,nacala-mozambique,"Nacala, Mozambique",-14.565607,40.685446
5971,pointe-noire-congo-rep-,"Pointe-Noire, Republic of the Congo",-4.779092,11.863640
8847,port-elizabeth-south-africa,"Port Elizabeth, South Africa",-33.962499,25.623274
9487,port-said-egypt,"Port Said, Egypt",31.259289,32.284475
5950,port-sudan-sudan,"Port Sudan, Sudan",19.615564,37.219677
18092,ras-ghareb-egypt,"Ras Ghareb, Egypt",28.365915,33.082790
5924,salalah-oman,"Salalah, Oman",17.095826,54.148083
5825,suez-egypt,"Suez, Egypt",29.972288,32.530129
9269,yanbu-saudi-arabia,"Yanbu, Saudi Arabia",24.070556,38.106981
9486,zafarana-egypt,"Zafarana, Egypt",29.116687,32.649856
4067,anchorage-ak-united-states,"Anchorage, AK, United States",61.217460,-149.858371
8539,florence-or-united-states,"Florence, OR, United States",43.982134,-124.099838
8392,homer-ak-united-states,"Homer, AK, United States",59.646366,-151.544307
8540,nikiski-ak-united-states,"Nikiski, AK, United States",60.689824,-151.291719
5969,aden-yemen,"Aden, Yemen",12.800684,45.033538
6024,corfu-greece,"Corfu, Greece",39.619298,19.919494
6043,dubrovnik-croatia,"Dubrovnik, Croatia",42.641862,18.106409
6025,durres-albania,"Durres, Albania",41.316693,19.450060
14732,killala-ireland,"Killala, Ireland",54.206829,-9.232195
3783,shirley-ny-united-states,"Shirley, NY, United States",40.800284,-72.872237
14813,bejaia-algeria,"Bejaia, Algeria",36.757033,5.066379
10093,berbera-somalia,"Berbera, Somalia",10.435116,45.010882
5958,bizerte-tunisia,"Bizerte, Tunisia",37.276350,9.867352
19123,duba-saudi-arabia,"Duba, Saudi Arabia",27.354022,35.696533
17183,kalba-united-arab-emirates,"Kalba, United Arab Emirates",25.051524,56.339976
